iter	Passed	Remaining
0	194	194495
1	199	99341
2	200	66684
3	202	50355
4	203	40510
5	204	33935
6	205	29212
7	207	25682
8	208	22933
9	209	20729
10	211	19047
11	212	17521
12	213	16223
13	214	15122
14	215	14144
15	216	13308
16	217	12570
17	217	11892
18	218	11297
19	219	10764
20	220	10273
21	220	9823
22	221	9415
23	222	9041
24	222	8696
25	223	8374
26	225	8114
27	226	7874
28	227	7621
29	228	7389
30	229	7169
31	230	6970
32	231	6776
33	232	6592
34	232	6416
35	233	6251
36	234	6094
37	234	5947
38	235	5803
39	236	5667
40	236	5541
41	237	5419
42	238	5302
43	240	5227
44	242	5137
45	242	5036
46	243	4938
47	244	4848
48	245	4764
49	246	4678
50	247	4596
51	247	4518
52	248	4441
53	249	4365
54	249	4292
55	250	4223
56	251	4159
57	252	4095
58	254	4060
59	256	4011
60	257	3957
61	258	3906
62	258	3850
63	259	3799
64	260	3747
65	261	3697
66	262	3649
67	263	3607
68	264	3563
69	264	3518
70	265	3475
71	266	3432
72	267	3391
73	269	3371
74	271	3343
75	272	3318
76	274	3285
77	274	3248
78	275	3212
79	276	3178
80	277	3144
81	277	3110
82	278	3074
83	278	3042
84	279	3010
85	280	2978
86	280	2948
87	281	2919
88	283	2903
89	300	3043
90	302	3021
91	304	3001
92	304	2974
93	305	2948
94	306	2922
95	307	2896
96	308	2869
97	308	2843
98	309	2817
99	310	2792
100	311	2768
101	311	2745
102	312	2722
103	313	2699
104	315	2691
105	316	2672
106	318	2654
107	319	2635
108	319	2614
109	320	2593
110	321	2574
111	322	2554
112	322	2534
113	323	2515
114	324	2497
115	325	2478
116	325	2458
117	326	2440
118	327	2422
119	327	2404
120	328	2387
121	331	2384
122	332	2371
123	333	2358
124	334	2341
125	335	2325
126	335	2308
127	336	2292
128	337	2278
129	338	2263
130	338	2247
131	339	2232
132	340	2218
133	341	2203
134	341	2189
135	342	2175
136	343	2161
137	343	2147
138	345	2142
139	347	2132
140	348	2120
141	348	2106
142	349	2093
143	350	2081
144	350	2068
145	351	2056
146	352	2043
147	352	2031
148	353	2019
149	354	2007
150	354	1995
151	355	1984
152	356	1972
153	357	1961
154	357	1950
155	358	1941
156	360	1934
157	361	1926
158	362	1917
159	363	1907
160	363	1895
161	364	1885
162	365	1876
163	366	1866
164	366	1856
165	367	1846
166	368	1836
167	369	1828
